question,type,columns_used,column_types,sample_answer,dataset,float_answer,answer_coords
What is the age of the youngest billionaire?,number,['age'],['number[UInt8]'],32.0,001_Forbes.csv,32.0,"[(11, 5)]"
What's the rank of the wealthiest non-self-made billionaire?,number,"['selfMade', 'rank']","['boolean', 'number[uint16]']",288,001_Forbes.csv,288.0,"[(14, 6)]"
Which category does the richest billionaire belong to?,category,"['finalWorth', 'category']","['number[uint32]', 'category']",Food & Beverage,001_Forbes.csv,,"[(7, 8)]"
What's the country of origin of the oldest billionaire?,category,"['age', 'country']","['number[UInt8]', 'category']",United Kingdom,001_Forbes.csv,,"[(18, 10)]"
What's the gender of the billionaire with the highest philanthropy score?,category,"['philanthropyScore', 'gender']","['number[UInt8]', 'category']",M,001_Forbes.csv,,"[(0, 4)]"
What's the source of wealth for the youngest billionaire?,category,"['age', 'source']","['number[UInt8]', 'category']",fintech,001_Forbes.csv,,"[(11, 9)]"
How many unique passenger classes are present in the dataset?,number,[Pclass],['number[uint8]'],3,002_Titanic.csv,3.0,"[(0, 4)]"
What's the maximum age of the passengers?,number,[Age],['number[UInt8]'],69.0,002_Titanic.csv,69.0,"[(0, 0)]"
Which passenger class has the highest number of survivors?,category,"[Pclass, Survived]","['number[uint8]', 'boolean']",3,002_Titanic.csv,3.0,"[(0, 4)]"
What's the most common gender among the survivors?,category,"[Sex, Survived]","['category', 'boolean']",female,002_Titanic.csv,,"[(12, 2)]"
What is the maximum fare amount charged for a trip?,number,['fare_amount'],['number[double]'],40.8,004_Taxi.csv,40.8,"[(2, 3)]"
How many unique pickup locations are in the dataset?,number,['PULocationID'],['number[uint16]'],18,004_Taxi.csv,18.0,"[(0, 8), (1, 8), (2, 8), (3, 8), (4, 8), (5, 8), (6, 8), (7, 8), (8, 8), (9, 8), (10, 8), (11, 8), (12, 8), (13, 8), (15, 8), (16, 8), (18, 8), (19, 8)]"
What is the average tip amount given by passengers?,number,['tip_amount'],['number[double]'],1.5,004_Taxi.csv,1.5,"[(0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7), (12, 7), (13, 7), (14, 7), (15, 7), (16, 7), (17, 7), (18, 7), (19, 7)]"
Which payment type is the most common in the dataset?,category,['payment_type'],['number[uint8]'],1,004_Taxi.csv,1.0,"[(1, 1)]"
Which vendor has the most trips recorded?,category,['VendorID'],['number[uint8]'],2,004_Taxi.csv,2.0,"[(1, 4)]"
What is the most common drop-off location?,category,['DOLocationID'],['number[uint16]'],90,004_Taxi.csv,90.0,"[(3, 5)]"
On which date did the first recorded trip occur?,category,['tpep_pickup_datetime'],"['date[ns, UTC]']",2023-02-01,004_Taxi.csv,,"[(0, 2)]"
What's the total number of unique agencies handling complaints?,number,['agency'],['category'],7,005_NYC.csv,7.0,"[(0, 5), (1, 5), (3, 5), (4, 5), (5, 5), (11, 5), (15, 5)]"
How many complaints were raised at midnight?,number,['hour'],['number[uint8]'],2,005_NYC.csv,2.0,"[(14, 6)]"
How many unique descriptors are present in the dataset?,number,['descriptor'],['category'],16,005_NYC.csv,16.0,"[(0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (8, 7), (9, 7), (10, 7), (11, 7), (13, 7), (14, 7), (15, 7), (18, 7), (19, 7)]"
Which borough has the most complaints?,category,['borough'],['category'],QUEENS,005_NYC.csv,,"[(1, 1)]"
Which month sees the highest number of complaints?,category,['month_name'],['category'],January,005_NYC.csv,,"[(4, 3)]"
Which weekday has the least complaints?,category,['weekday_name'],['category'],Thursday,005_NYC.csv,,"[(17, 4)]"
Which agency is least frequently handling complaints?,category,['agency'],['category'],DOHMH,005_NYC.csv,,"[(4, 5)]"
How many unique clubs are there in the dataset?,number,['Club<gx:category>'],['category'],19,007_Fifa.csv,19.0,"[(0, 11), (1, 11), (2, 11), (3, 11), (4, 11), (5, 11), (6, 11), (7, 11), (8, 11), (9, 11), (10, 11), (11, 11), (12, 11), (13, 11), (14, 11), (15, 11), (16, 11), (17, 11), (18, 11)]"
What is the highest value (in €) of a player in the dataset?,number,['Value_€<gx:currency>'],['number[uint32]'],13500000,007_Fifa.csv,13500000.0,"[(4, 10)]"
How many players have the position 'ST'?,number,['Position<gx:category>'],['category'],1,007_Fifa.csv,1.0,"[(11, 3)]"
What is the most common nationality in the dataset?,category,['Nationality<gx:category>'],['category'],Ghana,007_Fifa.csv,,"[(0, 8)]"
What is the most common preferred foot amongst players?,category,['Preferred Foot<gx:category>'],['category'],Right,007_Fifa.csv,,"[(0, 5)]"
Which club has the most players in the dataset?,category,['Club<gx:category>'],['category'],Lech Poznań,007_Fifa.csv,,"[(19, 11)]"
What is the most common position of players in the dataset?,category,['Position<gx:category>'],['category'],SUB,007_Fifa.csv,,"[(2, 3)]"
How many unique states are represented in the dataset?,number,[st],['category'],12,008_Tornados.csv,12.0,"[(0, 6), (1, 6), (2, 6), (3, 6), (4, 6), (7, 6), (8, 6), (9, 6), (12, 6), (15, 6), (16, 6), (18, 6)]"
What is the highest magnitude of tornado recorded in the dataset?,number,[mag],['number[int8]'],2,008_Tornados.csv,2.0,"[(10, 3)]"
What is the longest length of a tornado path in the dataset?,number,[len],['number[double]'],72.2,008_Tornados.csv,72.2,"[(11, 7)]"
What is the maximum number of injuries caused by a single tornado?,number,[inj],['number[uint16]'],3,008_Tornados.csv,3.0,"[(16, 4)]"
Which state has experienced the most tornadoes?,category,[st],['category'],IL,008_Tornados.csv,,"[(4, 6)]"
In which month do most tornadoes occur?,category,[mo],['number[uint8]'],6,008_Tornados.csv,6.0,"[(6, 5)]"
On what date did the most destructive tornado (by injuries) occur?,category,"[date, inj]","['date[ns, UTC]', 'number[uint16]']",1973-03-15,008_Tornados.csv,,"[(16, 0)]"
On what date did the longest tornado (by path length) occur?,category,"[date, len]","['date[ns, UTC]', 'number[double]']",1955-06-04,008_Tornados.csv,,"[(11, 0)]"
