question,type,columns_used,column_types,sample_answer,dataset,float_answer,answer_coords
What is the age of the youngest billionaire? Use the age columns to give a numerical answer. Use the age columns to give a numerical answer. Use the age columns to give a numerical answer. Use the age columns to give a numerical answer. Use the age columns to give a numerical answer. Use the age columns to give a numerical answer.,number,['age'],['number[UInt8]'],32.0,001_Forbes.csv,32.0,"[(11, 5)]"
What's the rank of the wealthiest non-self-made billionaire? Use the selfMade and  rank columns to give a numerical answer. Use the selfMade and  rank columns to give a numerical answer. Use the selfMade and  rank columns to give a numerical answer. Use the selfMade and  rank columns to give a numerical answer. Use the selfMade and  rank columns to give a numerical answer. Use the selfMade and  rank columns to give a numerical answer.,number,"['selfMade', 'rank']","['boolean', 'number[uint16]']",288,001_Forbes.csv,288.0,"[(14, 6)]"
Which category does the richest billionaire belong to? Use the finalWorth and  category columns to give a categorical answer. Use the finalWorth and  category columns to give a categorical answer. Use the finalWorth and  category columns to give a categorical answer. Use the finalWorth and  category columns to give a categorical answer. Use the finalWorth and  category columns to give a categorical answer. Use the finalWorth and  category columns to give a categorical answer.,category,"['finalWorth', 'category']","['number[uint32]', 'category']",Food & Beverage,001_Forbes.csv,,"[(7, 8)]"
What's the country of origin of the oldest billionaire? Use the age and  country columns to give a categorical answer. Use the age and  country columns to give a categorical answer. Use the age and  country columns to give a categorical answer. Use the age and  country columns to give a categorical answer. Use the age and  country columns to give a categorical answer. Use the age and  country columns to give a categorical answer.,category,"['age', 'country']","['number[UInt8]', 'category']",United Kingdom,001_Forbes.csv,,"[(18, 10)]"
What's the gender of the billionaire with the highest philanthropy score? Use the philanthropyScore and  gender columns to give a categorical answer. Use the philanthropyScore and  gender columns to give a categorical answer. Use the philanthropyScore and  gender columns to give a categorical answer. Use the philanthropyScore and  gender columns to give a categorical answer. Use the philanthropyScore and  gender columns to give a categorical answer. Use the philanthropyScore and  gender columns to give a categorical answer.,category,"['philanthropyScore', 'gender']","['number[UInt8]', 'category']",M,001_Forbes.csv,,"[(0, 4)]"
What's the source of wealth for the youngest billionaire? Use the age and  source columns to give a categorical answer. Use the age and  source columns to give a categorical answer. Use the age and  source columns to give a categorical answer. Use the age and  source columns to give a categorical answer. Use the age and  source columns to give a categorical answer. Use the age and  source columns to give a categorical answer.,category,"['age', 'source']","['number[UInt8]', 'category']",fintech,001_Forbes.csv,,"[(11, 9)]"
How many unique passenger classes are present in the dataset? Use the Pclass columns to give a numerical answer. Use the Pclass columns to give a numerical answer. Use the Pclass columns to give a numerical answer. Use the Pclass columns to give a numerical answer. Use the Pclass columns to give a numerical answer. Use the Pclass columns to give a numerical answer.,number,[Pclass],['number[uint8]'],3,002_Titanic.csv,3.0,"[(0, 4)]"
What's the maximum age of the passengers? Use the Age columns to give a numerical answer. Use the Age columns to give a numerical answer. Use the Age columns to give a numerical answer. Use the Age columns to give a numerical answer. Use the Age columns to give a numerical answer. Use the Age columns to give a numerical answer.,number,[Age],['number[UInt8]'],69.0,002_Titanic.csv,69.0,"[(0, 0)]"
Which passenger class has the highest number of survivors? Use the Pclass and  Survived columns to give a categorical answer. Use the Pclass and  Survived columns to give a categorical answer. Use the Pclass and  Survived columns to give a categorical answer. Use the Pclass and  Survived columns to give a categorical answer. Use the Pclass and  Survived columns to give a categorical answer. Use the Pclass and  Survived columns to give a categorical answer.,category,"[Pclass, Survived]","['number[uint8]', 'boolean']",3,002_Titanic.csv,3.0,"[(0, 4), (2, 4), (3, 4), (5, 4), (6, 4), (8, 4), (12, 4), (14, 4), (15, 4), (16, 4), (18, 4)]"
What's the most common gender among the survivors? Use the Sex and  Survived columns to give a categorical answer. Use the Sex and  Survived columns to give a categorical answer. Use the Sex and  Survived columns to give a categorical answer. Use the Sex and  Survived columns to give a categorical answer. Use the Sex and  Survived columns to give a categorical answer. Use the Sex and  Survived columns to give a categorical answer.,category,"[Sex, Survived]","['category', 'boolean']",female,002_Titanic.csv,,"[(12, 2)]"
